conference_name,acronym,category,sub_category,start_date,end_date,city,country,format,overview,call_for_papers,cfp_deadline,fees_and_pricing,program_agenda,keynote_speakers,technical_committee,sponsors,venue,accommodation,organizer,website_or_source,record_status,data_quality_notes,source_url,official_url,official_url_status,domain_type,logo_url,logo_source_type,cfp_url,registration_url,program_url,committee_url,last_url_verified,date_precision,verification_status,v3_standard_version
Cell Symposia: Decoding Cellular Complexity — Single Cell Biology in the Era of AI,Single Cell AI 2026,Science & Technology,Single Cell Biology & AI,2026-12-02,2026-12-04,Munich,Germany,In-person,International conference focused on single cell biology & ai.,Not yet announced as of 10 Sep 2026,,,,,,In partnership with Helmholtz Munich.,,Not yet announced as of 10 Sep 2026,Cell Press / Elsevier,,DISCOVERY VERIFIED,missing official URL; venue not verified,https://www.elsevier.com/events/conferences/all,,UNRESOLVED_DISCOVERY_ONLY,listing_only_unresolved,,none_until_official_domain_resolved,,,,,2026-09-11,day,NEEDS_OFFICIAL_URL,CG-2026-09-11-v1
2026 6th International Conference on Artificial Intelligence and Application Technologies,AIAT 2026,Technology,AI Applications,2026-12-03,2026-12-05,Tokyo,Japan,In-person,International conference focused on ai applications.,Call for papers / abstract submissions published.,2026-07-15,,,,,,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,,DISCOVERY VERIFIED,missing official URL; venue not verified,https://www.iconf.com/conference?tags=artificial+intelligence,,UNRESOLVED_DISCOVERY_ONLY,listing_only_unresolved,,none_until_official_domain_resolved,,,,,2026-09-11,day,NEEDS_OFFICIAL_URL,CG-2026-09-11-v1
AGU26 Annual Meeting,AGU26,Science,Earth & Space Sciences,2026-12-07,2026-12-11,San Francisco,United States,In-person + online,"AGU's annual meeting, the largest gathering of Earth and space scientists, convening 25,000+ attendees from 100+ countries.",Main abstract cycle completed; late-breaking abstract submission deadline 29 Sep 2026.,2026-09-29,Registration is open with early-rate pricing; category-by-category rates are published in the AGU registration portal but were not exposed in the public source extract used for this dataset.,Thousands of research presentations; workshops; panel discussions; hands-on learning; mentoring; career programming; networking; exhibits. Scientific program goes live in early October 2026.,,,,"Moscone Center, 747 Howard St, San Francisco, CA 94103, USA",Official AGU housing block is open with discounted hotel rates; specific hotel/rate inventory varies in the booking portal.,American Geophysical Union (AGU),https://www.agu.org/agu26,OFFICIAL VERIFIED,,https://www.agu.org/agu26,https://www.agu.org/agu26,EXISTING_OFFICIAL_OR_ORGANIZER,organizer_or_event_owner_page,https://www.google.com/s2/favicons?domain=www.agu.org&sz=256,official-domain favicon fallback,,,,,2026-09-11,day,OFFICIAL_OR_ORGANIZER_URL_PRESENT,CG-2026-09-11-v1
Black Hat Europe 2026,Black Hat Europe,Cybersecurity,Information Security,2026-12-07,2026-12-10,London,United Kingdom,In-person,Major European cybersecurity conference and training event.,Not yet announced as of 10 Sep 2026,,,"Trainings, briefings, Arsenal/tools, expo and networking.",,,,ExCeL London,Official travel/hotel links on event site.,Black Hat,https://blackhat.com/upcoming.html,Official confirmed,,https://blackhat.com/upcoming.html,https://blackhat.com/upcoming.html,EXISTING_OFFICIAL_OR_ORGANIZER,organizer_or_event_owner_page,https://www.google.com/s2/favicons?domain=blackhat.com&sz=256,official-domain favicon fallback,,,,,2026-09-11,day,OFFICIAL_OR_ORGANIZER_URL_PRESENT,CG-2026-09-11-v1
"2026 13th International Conference on Mechanical, Automotive and Materials Engineering",CMAME 2026,Engineering,"Mechanical, Automotive & Materials",2026-12-18,2026-12-20,Singapore,Singapore,In-person,"International conference focused on mechanical, automotive & materials.",Call for papers / abstract submissions published.,2026-08-01,,,,,,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,,DISCOVERY VERIFIED,missing official URL; venue not verified,https://www.iconf.com/conference?tags=Mechanical+Engineering,,UNRESOLVED_DISCOVERY_ONLY,listing_only_unresolved,,none_until_official_domain_resolved,,,,,2026-09-11,day,NEEDS_OFFICIAL_URL,CG-2026-09-11-v1
"2026 6th International Conference on Robotics, Automation, and Artificial Intelligence",RAAI 2026,Technology,"Robotics, Automation & AI",2026-12-18,2026-12-20,Singapore,Singapore,In-person,"International conference focused on robotics, automation & ai.",Call for papers / abstract submissions published.,2026-08-01,,,,,,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,,DISCOVERY VERIFIED,missing official URL; venue not verified,https://www.iconf.com/conference?tags=artificial+intelligence,,UNRESOLVED_DISCOVERY_ONLY,listing_only_unresolved,,none_until_official_domain_resolved,,,,,2026-09-11,day,NEEDS_OFFICIAL_URL,CG-2026-09-11-v1
2026 8th International Conference on Progress in Mechanical and Aerospace Engineering,PMAE 2026,Engineering,Mechanical & Aerospace Engineering,2026-12-18,2026-12-20,Singapore,Singapore,In-person,International conference focused on mechanical & aerospace engineering.,Call for papers / abstract submissions published.,2026-08-01,,,,,,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,,DISCOVERY VERIFIED,missing official URL; venue not verified,https://www.iconf.com/conference?tags=Mechanical+Engineering,,UNRESOLVED_DISCOVERY_ONLY,listing_only_unresolved,,none_until_official_domain_resolved,,,,,2026-09-11,day,NEEDS_OFFICIAL_URL,CG-2026-09-11-v1
2026 12th International Conference on Mechanical and Electronics Engineering,ICMEE 2026,Engineering,Mechanical & Electronics Engineering,2026-12-29,2026-12-31,Guangzhou,China,In-person,International conference focused on mechanical & electronics engineering.,Call for papers / abstract submissions published.,2026-06-30,,,,,,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.icmee.org/,DISCOVERY VERIFIED,venue not verified,https://www.iconf.com/conference?tags=Mechanical+Engineering,https://www.icmee.org/,RESOLVED_OFFICIAL,conference_owned_domain,https://www.google.com/s2/favicons?domain=www.icmee.org&sz=256,official-domain favicon fallback,,,,,2026-09-11,day,OFFICIAL_OR_ORGANIZER_URL_PRESENT,CG-2026-09-11-v1
Women Deliver Conference 2027,WD2027,Social Impact & Health,Gender Equality / Global Development,2027,,TBD,TBD,In-person / hybrid TBD,Major global gathering on gender equality and sexual/reproductive health and rights; listed for 2027.,CFP/participation details pending.,,Pricing pending.,Program pending.,To be announced.,Program committee pending.,Sponsors/partners pending.,,TBD,Women Deliver,,Discovery index,missing official URL; missing end date; venue not verified,https://impactconvene.com/conferences/,,UNRESOLVED_DISCOVERY_ONLY,listing_only_unresolved,,none_until_official_domain_resolved,,,,,2026-09-11,,NEEDS_OFFICIAL_URL,CG-2026-09-11-v1
Prince Mahidol Award Conference 2027,PMAC 2027,Health & Policy,Global Health,2027-01,,Bangkok,Thailand,In-person,High-level global health policy conference listed for January 2027.,Participation/submission model varies by PMAC program.,,Pricing pending.,"Policy dialogues, plenaries and global-health sessions.",To be announced.,International organizing/program committee.,Institutional partners/sponsors pending.,,TBD,PMAC organizers,,Discovery index,missing official URL; missing end date; venue not verified,https://impactconvene.com/conferences/,,UNRESOLVED_DISCOVERY_ONLY,listing_only_unresolved,,none_until_official_domain_resolved,,,,,2026-09-11,month,NEEDS_OFFICIAL_URL,CG-2026-09-11-v1
12th IAFOR International Conference on Education in Hawaii,IICE2027,Education,Education Research,2027-01-07,,Honolulu,United States,Hybrid,IAFOR international education conference in partnership with University of Hawai'i at Mānoa.,"Call for Papers; early-bird submission deadline Jul 16, 2026.",2026-07-16,,"Research presentations, plenaries, panels and networking.",,IAFOR conference/program committee.,Partners/sponsors on official event page.,"Honolulu, Hawaii",Not yet announced as of 10 Sep 2026,The International Academic Forum (IAFOR),https://iicehawaii.iafor.org/,Discovery verified,missing end date,https://www.conferencesked.com/conferences/conferences-2027,https://iicehawaii.iafor.org/,RESOLVED_OFFICIAL,organizer_or_event_owner_page,https://www.google.com/s2/favicons?domain=iicehawaii.iafor.org&sz=256,official-domain favicon fallback,https://iicehawaii.iafor.org/call-for-papers/,,https://iicehawaii.iafor.org/programme/,,2026-09-11,day,OFFICIAL_OR_ORGANIZER_URL_PRESENT,CG-2026-09-11-v1
7th IAFOR International Conference on Arts & Humanities in Hawaii,IICAH2027,Arts & Humanities,Interdisciplinary Humanities,2027-01-07,,Honolulu,United States,Hybrid,IAFOR interdisciplinary arts and humanities conference in partnership with University of Hawai'i at Mānoa.,"Call for Papers; early-bird submission deadline Jul 16, 2026.",2026-07-16,,"Presentations, plenaries, interdisciplinary panels and networking.",,IAFOR conference/program committee.,Partners/sponsors on official event page.,"Honolulu, Hawaii",Not yet announced as of 10 Sep 2026,The International Academic Forum (IAFOR),https://iicahhawaii.iafor.org/,Discovery verified,missing end date,https://www.conferencesked.com/conferences/conferences-2027,https://iicahhawaii.iafor.org/,RESOLVED_OFFICIAL,organizer_or_event_owner_page,https://www.google.com/s2/favicons?domain=iicahhawaii.iafor.org&sz=256,official-domain favicon fallback,,,,,2026-09-11,day,OFFICIAL_OR_ORGANIZER_URL_PRESENT,CG-2026-09-11-v1
11th International Conference on Advanced Thin Films and Coatings,ATFC 2027,Science & Engineering,Materials / Coatings,2027-01-08,2027-01-10,Sanya,China,In-person,International conference on advanced thin films and coatings.,"Submission deadline listed Dec 23, 2026.",2026-12-23,,Scientific paper sessions.,,,,,Not yet announced as of 10 Sep 2026,Academic Communications / organizers,,Discovery verified,missing official URL; venue not verified,https://conferencesked.com/conferences/conferences-2027,,UNRESOLVED_DISCOVERY_ONLY,listing_only_unresolved,,none_until_official_domain_resolved,,,,,2026-09-11,day,NEEDS_OFFICIAL_URL,CG-2026-09-11-v1
14th International Conference on Advanced Nanomaterials and Emerging Applications,ANEA 2027,Science & Engineering,Nanomaterials,2027-01-08,2027-01-10,Sanya,China,In-person,International conference on advanced nanomaterials and emerging applications.,Not yet announced as of 10 Sep 2026,,,Scientific paper sessions.,,,,,Not yet announced as of 10 Sep 2026,Academic Communications / organizers,,Discovery verified,missing official URL; venue not verified,https://conferencesked.com/conferences/conferences-2027,,UNRESOLVED_DISCOVERY_ONLY,listing_only_unresolved,,none_until_official_domain_resolved,,,,,2026-09-11,day,NEEDS_OFFICIAL_URL,CG-2026-09-11-v1
2027 International Conference on Architecture and Environmental Research,ICAER 2027,Engineering & Environment,Architecture & Environmental Research,2027-01-08,2027-01-10,Fukuoka,Japan,In-person,International conference focused on architecture & environmental research.,Call for papers / abstract submissions published.,2026-08-15,,,,,,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,,DISCOVERY VERIFIED,missing official URL; venue not verified,https://www.iconf.com/news/1195,,UNRESOLVED_DISCOVERY_ONLY,listing_only_unresolved,,none_until_official_domain_resolved,,,,,2026-09-11,day,NEEDS_OFFICIAL_URL,CG-2026-09-11-v1
7th International Conference on Materials Physics and Chemistry,ICMPC 2027,Science & Engineering,Materials Science,2027-01-08,2027-01-10,Sanya,China,In-person,International conference on materials physics and chemistry.,"Submission deadline listed Dec 23, 2026.",2026-12-23,,Scientific paper sessions.,,,,,Not yet announced as of 10 Sep 2026,Academic Communications / organizers,,Discovery verified,missing official URL; venue not verified,https://conferencesked.com/conferences/conferences-2027,,UNRESOLVED_DISCOVERY_ONLY,listing_only_unresolved,,none_until_official_domain_resolved,,,,,2026-09-11,day,NEEDS_OFFICIAL_URL,CG-2026-09-11-v1
2027 International Conference on Environmental Systems and Sustainability,ICESS 2027,Environment & Sustainability,Environmental Systems & Sustainability,2027-01-14,2027-01-16,Adelaide,Australia,In-person,International conference focused on environmental systems & sustainability.,Call for papers / abstract submissions published.,2026-08-15,,,,,,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,,DISCOVERY VERIFIED,missing official URL; venue not verified,https://www.iconf.com/news/1195,,UNRESOLVED_DISCOVERY_ONLY,listing_only_unresolved,,none_until_official_domain_resolved,,,,,2026-09-11,day,NEEDS_OFFICIAL_URL,CG-2026-09-11-v1
2027 19th International Conference on Computer Research and Development,ICCRD 2027,Technology,Computer Research & Development,2027-01-15,2027-01-17,Singapore,Singapore,In-person,International conference focused on computer research & development.,Call for papers / abstract submissions published.,2026-09-30,,,,,,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iccrd.org/,DISCOVERY VERIFIED,venue not verified,https://www.iconf.com/news/1175,https://www.iccrd.org/,RESOLVED_OFFICIAL,conference_owned_domain,https://www.google.com/s2/favicons?domain=www.iccrd.org&sz=256,official-domain favicon fallback,,,,,2026-09-11,day,OFFICIAL_OR_ORGANIZER_URL_PRESENT,CG-2026-09-11-v1
2027 6th Asia-Pacific Computer Technology Conference,APCT 2027,Technology,Computer Technology,2027-01-15,2027-01-17,Jakarta,Indonesia,In-person,International conference focused on computer technology.,Call for papers / abstract submissions published.,2026-08-05,,,,,,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.apct.net/,DISCOVERY VERIFIED,venue not verified,https://www.iconf.com/news/1175,https://www.apct.net/,RESOLVED_OFFICIAL,conference_owned_domain,https://www.google.com/s2/favicons?domain=apct.net&sz=256,official-domain favicon fallback,,,,,2026-09-11,day,OFFICIAL_OR_ORGANIZER_URL_PRESENT,CG-2026-09-11-v1
2027 11th International Conference on Manufacturing Technologies,ICMT 2027,Engineering,Manufacturing Technologies,2027-01-20,2027-01-23,Kuala Lumpur,Malaysia,In-person,International conference focused on manufacturing technologies.,Call for papers / abstract submissions published.,2026-08-30,,,,,,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.icmt.org/,DISCOVERY VERIFIED,venue not verified,https://www.iconf.com/conference?tags=Mechanical+Engineering,https://www.icmt.org/,RESOLVED_OFFICIAL,conference_owned_domain,https://www.google.com/s2/favicons?domain=www.icmt.org&sz=256,official-domain favicon fallback,,,,,2026-09-11,day,OFFICIAL_OR_ORGANIZER_URL_PRESENT,CG-2026-09-11-v1
2027 15th International Conference on Nano and Materials Science,ICNMS 2027,Science & Engineering,Nano & Materials Science,2027-01-20,2027-01-23,Kuala Lumpur,Malaysia,In-person,International materials conference with onsite and virtual participation; accepted work is directed to Scientific.Net collection journals indexed by Scopus.,Call for papers / abstract submissions published.,2026-10-10,,,,,,,Not yet announced as of 10 Sep 2026,SAISE / conference organizers,https://www.icnms.org/,DISCOVERY VERIFIED,venue not verified,https://www.iconf.com/conference/ICNMS2027_9318,https://www.icnms.org/,RESOLVED_OFFICIAL,conference_owned_domain,https://www.google.com/s2/favicons?domain=icnms.org&sz=256,official-domain favicon fallback,,,,,2026-09-11,day,OFFICIAL_OR_ORGANIZER_URL_PRESENT,CG-2026-09-11-v1
2027 16th International Conference on Software and Computer Applications,ICSCA 2027,Technology,Software & Computer Applications,2027-01-22,2027-01-24,Putrajaya,Malaysia,In-person,International conference focused on software & computer applications.,Call for papers / abstract submissions published.,2026-09-10,,,,,,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.icsca.org/,DISCOVERY VERIFIED,venue not verified,https://www.iconf.com/news/1175,https://www.icsca.org/,RESOLVED_OFFICIAL,conference_owned_domain,https://www.google.com/s2/favicons?domain=www.icsca.org&sz=256,official-domain favicon fallback,,,,,2026-09-11,day,OFFICIAL_OR_ORGANIZER_URL_PRESENT,CG-2026-09-11-v1
2027 17th International Conference on Advanced Materials Research,ICAMR 2027,Science & Engineering,Advanced Materials Research,2027-01-23,2027-01-25,Phuket,Thailand,In-person,International conference focused on advanced materials research.,Call for papers / abstract submissions published.,2026-09-05,,,,,,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.icamr.org/,DISCOVERY VERIFIED,venue not verified,https://www.iconf.com/news/1195,https://www.icamr.org/,RESOLVED_OFFICIAL,conference_owned_domain,https://www.google.com/s2/favicons?domain=icamr.org&sz=256,official-domain favicon fallback,,,,,2026-09-11,day,OFFICIAL_OR_ORGANIZER_URL_PRESENT,CG-2026-09-11-v1
2027 International Conference on Civil and Building Materials,ICCBM 2027,Engineering,Civil & Building Materials,2027-01-23,2027-01-25,Phuket,Thailand,In-person,International conference focused on civil & building materials.,Call for papers / abstract submissions published.,2026-09-05,,,,,,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,,DISCOVERY VERIFIED,missing official URL; venue not verified,https://www.iconf.com/news/1195,,UNRESOLVED_DISCOVERY_ONLY,listing_only_unresolved,,none_until_official_domain_resolved,,,,,2026-09-11,day,NEEDS_OFFICIAL_URL,CG-2026-09-11-v1
World Government Summit 2027,WGS 2027,Government & Policy,Public Policy / Future Government,2027-02-01,2027-02-03,Dubai,United Arab Emirates,In-person,High-level government and future-policy summit listed for February 2027.,Curated/invitation model; not conventional academic CFP.,,Pricing/access model varies; details pending.,"Plenaries, ministerial dialogues, future government and innovation sessions.",Global leaders and ministers; 2027 roster pending.,Curated by World Governments Summit organization.,Government/corporate partners pending.,"Dubai, UAE",Official partner hotel/travel guidance typically provided.,World Governments Summit Organization,https://www.worldgovernmentssummit.org/,Discovery index,,https://impactconvene.com/conferences/,https://www.worldgovernmentssummit.org/,UNRESOLVED_DISCOVERY_ONLY,listing_only_unresolved,,none_until_official_domain_resolved,,,,,2026-09-11,day,OFFICIAL_VERIFIED,CG-2026-09-11-v1
AAAI-27: 41st Annual AAAI Conference on Artificial Intelligence,AAAI-27,Technology,Artificial Intelligence,2027-02-16,2027-02-23,Montréal,Canada,In-person,"The 41st AAAI Conference on Artificial Intelligence; an in-person research conference spanning the full breadth of AI, with technical papers, special tracks, invited speakers, workshops, tutorials, posters, competitions, exhibits, Bridge Program and Lab Program.",Main Technical Track: OpenReview author registration opened 17 Jun 2026; abstract deadline 21 Jul 2026; full-paper deadline 28 Jul 2026; supplementary material/code deadline 31 Jul 2026.,2026-07-28,,Technical paper presentations; special tracks; invited speakers; workshops; tutorials; poster sessions; senior-member presentations; competitions; exhibition program; Bridge Program; Lab Program.,,"AAAI Conference Committee Chair: Kevin Leyton-Brown; General Chair: Edith Elkind; Program Co-Chairs: Yan Liu, Balaraman Ravindran; Associate Program Chairs: Joydeep Biswas, Bistra Dilkina, Minlie Huang, Richa Singh, Pradeep Varakantham; AI Alignment Chairs: Dylan Hadfield-Menell, Mitchell Gordon; AI for Social Impact Chairs: Bryan Wilder, Andrew Perrault; Demonstration Chairs: Sarah Keren, Sarath Sreedharan; Doctoral Consortium Co-Chairs: Wei Liu, Yue Zhao; Ethics Chair: Matthew Gombolay; Senior Members Track Chairs: Siddharth Srivastava, Noa Agmon.",,"Montréal, Canada; specific conference facility not yet announced on the official AAAI-27 page.",Official AAAI-27 accommodations and travel program is provided through the AAAI attendee pages; named hotel block not yet announced.,Association for the Advancement of Artificial Intelligence (AAAI),https://aaai.org/conference/aaai/aaai-27/,OFFICIAL VERIFIED,,https://aaai.org/conference/aaai/aaai-27/,https://aaai.org/conference/aaai/aaai-27/,EXISTING_OFFICIAL_OR_ORGANIZER,organizer_or_event_owner_page,https://www.google.com/s2/favicons?domain=aaai.org&sz=256,official-domain favicon fallback,,,,,2026-09-11,day,OFFICIAL_OR_ORGANIZER_URL_PRESENT,CG-2026-09-11-v1
"Dubai International Conference on Teaching, Education & Learning",Dubai ICTEL 2027,Education,"Teaching, Education & Learning",2027-02-16,2027-02-17,Dubai,United Arab Emirates,In-person,"International conference focused on teaching, education & learning.",Call for papers / abstract submissions published.,2027-02-14,,"Keynote and plenary talks, technical sessions, poster presentations, networking and collaborative research activities.",,,,"Flora Creek, Deira, Dubai, UAE",Not yet announced as of 10 Sep 2026,Teaching & Education Research Association (TERA),,DISCOVERY VERIFIED,missing official URL,https://www.iconf.com/conference/DubaiInternationalConferenceonTeaching%2CEducation%26Learning_9561,,UNRESOLVED_DISCOVERY_ONLY,listing_only_unresolved,,none_until_official_domain_resolved,,,,,2026-09-11,day,NEEDS_OFFICIAL_URL,CG-2026-09-11-v1
2027 13th International Conference on Computing and Data Engineering,ICCDE 2027,Technology,Computing & Data Engineering,2027-02-17,2027-02-19,Phuket,Thailand,In-person,International conference focused on computing & data engineering.,Call for papers / abstract submissions published.,2026-09-25,,,,,,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://iccde.org/,DISCOVERY VERIFIED,venue not verified,https://www.iconf.com/news/1175,https://iccde.org/,RESOLVED_OFFICIAL,conference_owned_domain,https://www.google.com/s2/favicons?domain=iccde.org&sz=256,official-domain favicon fallback,,,,,2026-09-11,day,OFFICIAL_OR_ORGANIZER_URL_PRESENT,CG-2026-09-11-v1
2027 International Conference on Robotics and Intelligent Control,ICRIC 2027,Technology & Engineering,Robotics & Intelligent Control,2027-02-17,2027-02-19,Milan,Italy,In-person,International conference focused on robotics & intelligent control.,Call for papers / abstract submissions published.,2026-09-25,,,,,Hosted by Polytechnic University of Milan.,,Not yet announced as of 10 Sep 2026,Polytechnic University of Milan / ICRIC,,DISCOVERY VERIFIED,missing official URL; venue not verified,https://www.iconf.com/conference/ICRIC2027_9607,,UNRESOLVED_DISCOVERY_ONLY,listing_only_unresolved,,none_until_official_domain_resolved,,,,,2026-09-11,day,NEEDS_OFFICIAL_URL,CG-2026-09-11-v1
2027 10th International Conference on Computers in Management and Business,ICCMB 2027,Business & Technology,Computers in Management & Business,2027-02-18,2027-02-20,Basel,Switzerland,In-person,International conference focused on computers in management & business.,Call for papers / abstract submissions published.,2026-09-30,,,,,Sponsored by SAISE and University of Applied Sciences and Arts Northwestern Switzerland; assisted by Hosei University and University of Macau.,"University of Applied Sciences and Arts Northwestern Switzerland, Basel",Not yet announced as of 10 Sep 2026,SAISE / FHNW / ICCMB Organizing Committee,https://www.iccmb.org/,DISCOVERY VERIFIED,,https://www.iconf.com/conference/ICCMB2027_9677,https://www.iccmb.org/,RESOLVED_OFFICIAL,conference_owned_domain,https://www.google.com/s2/favicons?domain=www.iccmb.org&sz=256,official-domain favicon fallback,,,,,2026-09-11,day,OFFICIAL_OR_ORGANIZER_URL_PRESENT,CG-2026-09-11-v1
2027 International Conference on Building Materials and Construction,ICBMC 2027,Engineering,Building Materials & Construction,2027-02-18,2027-02-21,Hong Kong,China,In-person,International conference focused on building materials & construction.,Call for papers / abstract submissions published.,2026-09-25,,,,,,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,,DISCOVERY VERIFIED,missing official URL; venue not verified,https://www.iconf.com/news/1195,,UNRESOLVED_DISCOVERY_ONLY,listing_only_unresolved,,none_until_official_domain_resolved,,,,,2026-09-11,day,NEEDS_OFFICIAL_URL,CG-2026-09-11-v1
7th International Brain Stimulation Conference,Brain Stimulation 2027,Health & Medicine,Brain Stimulation & Neuroscience,2027-02-21,2027-02-24,Lyon,France,In-person,International conference focused on brain stimulation & neuroscience.,Not yet announced as of 10 Sep 2026,,,,,,,,Not yet announced as of 10 Sep 2026,Elsevier conference portfolio,https://www.elsevier.com/events/conferences/all/international-brain-stimulation-conference,DISCOVERY VERIFIED,venue not verified,https://www.elsevier.com/events/conferences/all,https://www.elsevier.com/events/conferences/all/international-brain-stimulation-conference,RESOLVED_OFFICIAL,organizer_or_event_owner_page,https://www.google.com/s2/favicons?domain=elsevier.com&sz=256,official-domain favicon fallback,,,,,2026-09-11,day,OFFICIAL_OR_ORGANIZER_URL_PRESENT,CG-2026-09-11-v1
2027 19th International Conference on Machine Learning and Computing,ICMLC 2027,Technology,Machine Learning & Computing,2027-02-26,2027-03-01,Shenzhen,China,In-person,"International conference covering theoretical and applied machine learning, deep learning, reinforcement learning, NLP, computer vision, bioinformatics and big data processing.",Call for papers / abstract submissions published.,2026-09-25,,,,,,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.icmlc.org/,DISCOVERY VERIFIED,venue not verified,https://www.iconf.com/conference/ICMLC2027_9546,https://www.icmlc.org/,RESOLVED_OFFICIAL,conference_owned_domain,https://www.google.com/s2/favicons?domain=www.icmlc.org&sz=256,official-domain favicon fallback,,,,,2026-09-11,day,OFFICIAL_OR_ORGANIZER_URL_PRESENT,CG-2026-09-11-v1
Black Hat Asia 2027,Black Hat Asia,Cybersecurity,Information Security,2027-02-28,2027-03-03,Singapore,Singapore,In-person,"Black Hat Asia cybersecurity conference with Summits, Trainings and Briefings at Marina Bay Sands.",Call for Briefings opened 4 Sep 2026 and closes 20 Oct 2026 at 23:59 Singapore Time; notifications by 5 Jan 2027. Call for Summit Sessions opened 31 Aug 2026 and closes 12 Oct 2026.,2026-10-20,,"Summit: 1 Mar 2027. Briefings: 2–3 Mar 2027. Full event window: 28 Feb–3 Mar 2027, including trainings/summits/briefings.",,,,"Marina Bay Sands, Singapore",Official 2027 hotel information not yet published.,Black Hat,https://blackhat.com/upcoming.html,OFFICIAL VERIFIED,,https://blackhat.com/upcoming.html,https://blackhat.com/upcoming.html,EXISTING_OFFICIAL_OR_ORGANIZER,organizer_or_event_owner_page,https://www.google.com/s2/favicons?domain=blackhat.com&sz=256,official-domain favicon fallback,,,,,2026-09-11,day,OFFICIAL_OR_ORGANIZER_URL_PRESENT,CG-2026-09-11-v1
2027 International Conference on Materials and Functional Manufacturing,ICMFM 2027,Engineering,Materials & Functional Manufacturing,2027-03-01,2027-03-04,Da Nang,Vietnam,In-person,International conference focused on materials & functional manufacturing.,Call for papers / abstract submissions published.,2026-10-20,,,,,,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,,DISCOVERY VERIFIED,missing official URL; venue not verified,https://www.iconf.com/news/1195,,UNRESOLVED_DISCOVERY_ONLY,listing_only_unresolved,,none_until_official_domain_resolved,,,,,2026-09-11,day,NEEDS_OFFICIAL_URL,CG-2026-09-11-v1
2027 13th International Conference on Mechatronics and Robotics Engineering,ICMRE 2027,Technology & Engineering,Mechatronics & Robotics,2027-03-03,2027-03-05,Grimstad,Norway,In-person,International conference focused on mechatronics & robotics.,Call for papers / abstract submissions published.,2026-09-25,,"3 Mar: arrival/material collection; 4 Mar: opening, keynote speeches and oral paper presentations; 5 Mar: oral and poster presentations.",,Conference Chairs: Jing Zhou; Andreas Rauh. Co-Chairs: Ian Walker; Belkacem Ould Bouamama. Program Chairs: Johannes Reuter; Huosheng Hu; Johann Reger; Andras Horvath; Wei Meng; Zhongbin Wang. Student Program Chairs: Jiangping Hu; Wenfeng Hu; Tan Zhang.,"Sponsored by University of Agder, Norway.","University of Agder, Grimstad, Norway",Not yet announced as of 10 Sep 2026,University of Agder / ICMRE,https://www.icmre.org/,DISCOVERY VERIFIED,,https://www.iconf.com/conference/ICMRE2027_9535,https://www.icmre.org/,RESOLVED_OFFICIAL,conference_owned_domain,https://www.google.com/s2/favicons?domain=icmre.org&sz=256,official-domain favicon fallback,,,,,2026-09-11,day,OFFICIAL_OR_ORGANIZER_URL_PRESENT,CG-2026-09-11-v1
World Cargo Symposium 2027,IATA WCS 2027,Transport & Logistics,Air Cargo,2027-03-09,2027-03-11,Calgary,Canada,In-person,"IATA's largest and most prestigious annual air-cargo event; the 2026 edition drew nearly 1,200 delegates.",Industry conference; no public academic-style CFP announced for WCS 2027.,,,,,,,"Calgary, Canada; exact venue not yet announced on the official WCS page.",Not yet announced as of 10 Sep 2026,International Air Transport Association (IATA),https://www.iata.org/en/events/all/world-cargo-symposium,OFFICIAL VERIFIED,,https://www.iata.org/en/events/all/world-cargo-symposium,https://www.iata.org/en/events/all/world-cargo-symposium,EXISTING_OFFICIAL_OR_ORGANIZER,organizer_or_event_owner_page,https://www.google.com/s2/favicons?domain=www.iata.org&sz=256,official-domain favicon fallback,,,,,2026-09-11,day,OFFICIAL_OR_ORGANIZER_URL_PRESENT,CG-2026-09-11-v1
