conference_name,acronym,category,sub_category,start_date,end_date,city,country,format,overview,call_for_papers,cfp_deadline,fees_and_pricing,program_agenda,keynote_speakers,technical_committee,sponsors,venue,accommodation,organizer,website_or_source,record_status,data_quality_notes
"2027 14th International Conference on Mechanics, Materials and Manufacturing",ICMMM 2027,Engineering,Mechanical / Materials / Manufacturing,2027-06-14,2027-06-16,Sydney,Australia,In-person,"International academic conference on mechanics, materials and manufacturing.",Not yet announced as of 10 Sep 2026,,Not yet announced as of 10 Sep 2026,Technical papers and research presentations.,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Sydney, Australia",Not yet announced as of 10 Sep 2026,Conference organizers,https://www.iconf.com/,Discovery index,Date/city from iConf.
2027 15th Asia Conference on Mechanical and Materials Engineering,ACMME 2027,Engineering,Mechanical / Materials,2027-06-21,2027-06-25,Jeju Island,South Korea,In-person,Asia-focused conference on mechanical and materials engineering.,Not yet announced as of 10 Sep 2026,,Not yet announced as of 10 Sep 2026,Technical research sessions.,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Jeju Island, South Korea",Not yet announced as of 10 Sep 2026,Conference organizers,https://www.iconf.com/,Discovery index,Date/city from iConf.
2027 15th International Conference on Computer and Communications Management,ICCCM 2027,Technology,Computing / Communications,2027-07-09,2027-07-11,Tokyo,Japan,In-person,Academic conference on computer and communications management.,Not yet announced as of 10 Sep 2026,,Not yet announced as of 10 Sep 2026,Technical paper sessions.,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Tokyo, Japan",Not yet announced as of 10 Sep 2026,Conference organizers,https://www.iconf.com/,Discovery index,Date/city from iConf.
2027 15th International Conference on Nano and Materials Science,ICNMS 2027,Science & Engineering,Nano & Materials Science,2027-01-20,2027-01-23,Kuala Lumpur,Malaysia,In-person,International materials conference with onsite and virtual participation; accepted work is directed to Scientific.Net collection journals indexed by Scopus.,Call for papers / abstract submissions published.,2026-10-10,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Kuala Lumpur, Malaysia",Not yet announced as of 10 Sep 2026,SAISE / conference organizers,https://www.iconf.com/conference/ICNMS2027_9318,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
15th NIZO Dairy Conference: Innovations in Milk Proteins,NIZO 2027,Food & Agriculture,Dairy & Milk Proteins,2027-10-12,2027-10-15,Papendal,Netherlands,In-person,International conference focused on dairy & milk proteins.,Not yet announced as of 10 Sep 2026,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Papendal Hotel and Congress Centre, Netherlands",Not yet announced as of 10 Sep 2026,NIZO / Elsevier,https://www.elsevier.com/events/conferences/all,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2026 16th International Conference on Information and Multimedia Technology,ICIMT 2026,Technology,Information & Multimedia Technology,2026-11-06,2026-11-08,Shenzhen,China,In-person,International conference focused on information & multimedia technology.,Call for papers / abstract submissions published.,2026-05-20,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Shenzhen, China",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=Computer+Science+and+Technologies,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2027 16th International Conference on Software and Computer Applications,ICSCA 2027,Technology,Software & Computer Applications,2027-01-22,2027-01-24,Putrajaya,Malaysia,In-person,International conference focused on software & computer applications.,Call for papers / abstract submissions published.,2026-09-10,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Putrajaya, Malaysia",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/news/1175,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2026 17th Asia Conference on Mechanical and Aerospace Engineering,ACMAE 2026,Engineering,Mechanical & Aerospace Engineering,2026-12-02,2026-12-04,Phuket,Thailand,In-person,International conference focused on mechanical & aerospace engineering.,Call for papers / abstract submissions published.,2026-07-15,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Phuket, Thailand",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=Mechanical+Engineering,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2027 17th International Conference on Advanced Materials Research,ICAMR 2027,Science & Engineering,Advanced Materials Research,2027-01-23,2027-01-25,Phuket,Thailand,In-person,International conference focused on advanced materials research.,Call for papers / abstract submissions published.,2026-09-05,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Phuket, Thailand",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/news/1195,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2027 17th International Conference on Biomedical Engineering and Technology,ICBET 2027,Health & Engineering,Biomedical Engineering,2027-08-20,2027-08-23,Tokyo,Japan,In-person,International conference on biomedical engineering and technology.,Not yet announced as of 10 Sep 2026,,Not yet announced as of 10 Sep 2026,Technical and biomedical research sessions.,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Tokyo, Japan",Not yet announced as of 10 Sep 2026,Conference organizers,https://www.iconf.com/,Discovery index,Date/city from iConf.
2026 18th International Conference on Communication Software and Networks,ICCSN 2026,Technology,Communication Software & Networks,2026-07-24,2026-07-26,Shenzhen,China,In-person,International conference focused on communication software & networks.,Call for papers / abstract submissions published.,2026-02-28,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Shenzhen, China",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=Communication+Engineering,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
"2027 18th International Conference on E-Education, E-Business, E-Management and E-Learning",IC4e 2027,Education & Business,"E-Education, E-Business & E-Learning",2027-03-26,2027-03-29,Fukuoka,Japan,In-person,"International conference focused on e-education, e-business & e-learning.",Call for papers / abstract submissions published.,2026-10-20,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Sponsored by Rajamangala University of Technology Tawan-ok; patrons include Meeting Place Fukuoka, Purdue University Northwest, De La Salle University-Manila, China West Normal University, Bulacan State University and Prince Sultan University.","Fukuoka, Japan",Not yet announced as of 10 Sep 2026,IC4e Organizing Committee / academic partners,https://www.iconf.com/conference/IC4e2027_9680,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2026 18th International Conference on Future Computer and Communication,ICFCC 2026,Technology,Future Computing & Communication,2026-06-11,2026-06-13,Fukuoka,Japan,In-person,International conference focused on future computing & communication.,Call for papers / abstract submissions published.,2026-01-20,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Fukuoka, Japan",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=Computer+Science+and+Technologies,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2027 19th International Conference on Computer Research and Development,ICCRD 2027,Technology,Computer Research & Development,2027-01-15,2027-01-17,Singapore,Singapore,In-person,International conference focused on computer research & development.,Call for papers / abstract submissions published.,2026-09-30,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Singapore, Singapore",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/news/1175,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2027 19th International Conference on Machine Learning and Computing,ICMLC 2027,Technology,Machine Learning & Computing,2027-02-26,2027-03-01,Shenzhen,China,In-person,"International conference covering theoretical and applied machine learning, deep learning, reinforcement learning, NLP, computer vision, bioinformatics and big data processing.",Call for papers / abstract submissions published.,2026-09-25,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Shenzhen, China",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference/ICMLC2027_9546,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
20th Vaccine Congress,Vaccine Congress 2026,Health & Medicine,Vaccines & Immunology,2026-09-14,2026-09-16,Seville,Spain,In-person,International conference focused on vaccines & immunology.,Not yet announced as of 10 Sep 2026,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Seville, Spain",Not yet announced as of 10 Sep 2026,Elsevier conference portfolio,https://www.elsevier.com/en-gb/events/conferences/all,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
26th International Conference on Wear of Materials and 6th Biotribology Conference,WEAR 2027,Engineering,Materials / Tribology,2027-04-04,2027-04-08,Banff,Canada,In-person,International conference focused on wear of materials and biotribology.,Not yet announced as of 10 Sep 2026,,Not yet announced as of 10 Sep 2026,Technical sessions and research presentations; details on event website.,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Banff, Canada",Not yet announced as of 10 Sep 2026,Elsevier conference portfolio / organizers,https://www.elsevier.com/events/conferences/all,Discovery verified,Date/city confirmed by Elsevier listing; deeper enrichment needed.
2nd Global Cleaner Production Conference,GCP 2026,Sustainability,Cleaner Production,2026-10-26,2026-10-29,Sitges,Spain,In-person,International conference focused on cleaner production.,Not yet announced as of 10 Sep 2026,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Meliá Sitges, Spain",Not yet announced as of 10 Sep 2026,Elsevier conference portfolio,https://www.elsevier.com/en-gb/events/conferences/all,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2026 2nd International Conference on Artificial Intelligence Security and Governance,ICAISG 2026,Technology,AI Security & Governance,2026-11-20,2026-11-22,Hangzhou,China,In-person,International conference focused on ai security & governance.,Call for papers / abstract submissions published.,2026-06-15,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Hangzhou, China",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=artificial+intelligence,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2026 2nd International Conference on Image and Video Processing,ICIVP 2026,Technology,Image & Video Processing,2026-11-18,2026-11-20,Kyoto,Japan,In-person,International conference focused on image & video processing.,Call for papers / abstract submissions published.,2026-05-30,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Kyoto, Japan",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=Computer+Science+and+Technologies,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
37th Anniversary World Congress on Biosensors,Biosensors 2027,Science & Health,Biosensors,2027-05-18,2027-05-20,Kyoto,Japan,In-person,"World congress focused on biosensor science, devices and applications.",Not yet announced as of 10 Sep 2026,,Not yet announced as of 10 Sep 2026,Scientific congress program.,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Kyoto, Japan",Not yet announced as of 10 Sep 2026,Elsevier conference portfolio / organizers,https://www.elsevier.com/events/conferences/all,Discovery verified,Date/city confirmed by Elsevier listing.
2026 4th International Conference on Artificial Intelligence and Power Engineering,AIPE 2026,Technology & Energy,AI & Power Engineering,2026-10-30,2026-11-01,Nanjing,China,In-person,International conference focused on ai & power engineering.,Call for papers / abstract submissions published.,2026-06-10,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Nanjing, China",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=artificial+intelligence,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2026 4th International Conference on Power and Renewable Energy Engineering,PREE 2026,Energy & Engineering,Power / Renewable Energy,2026-10-03,,Tokyo,Japan,In-person,International conference on power and renewable energy engineering.,Not yet announced as of 10 Sep 2026,,Not yet announced as of 10 Sep 2026,Technical sessions and papers.,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Tokyo, Japan",Not yet announced as of 10 Sep 2026,Conference organizers,https://worldconferencecalendar.com/,Discovery index,Start date/city/category confirmed by index.
4th NIZO Plant Protein Functionality Conference,NIZO Plant Protein 2026,Food & Agriculture,Plant Protein,2026-10-13,2026-10-16,Papendal,Netherlands,In-person,International conference focused on plant protein.,Not yet announced as of 10 Sep 2026,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Papendal, Netherlands",Not yet announced as of 10 Sep 2026,NIZO / Elsevier conference portfolio,https://www.elsevier.com/en-gb/events/conferences/all,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2027 5th Asia Conference on Advances in Image Processing,ACAIP 2027,Technology,Image Processing,2027-06-25,2027-06-27,Shanghai,China,In-person,Asia conference focused on advances in image processing.,Not yet announced as of 10 Sep 2026,,Not yet announced as of 10 Sep 2026,Technical paper sessions.,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Shanghai, China",Not yet announced as of 10 Sep 2026,Conference organizers,https://www.iconf.com/,Discovery index,Date/city from iConf.
5th Food Chemistry Conference,Food Chemistry 2027,Food & Science,Food Chemistry,2027-11-08,2027-11-11,Guangzhou,China,In-person,International conference focused on food chemistry.,Not yet announced as of 10 Sep 2026,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Guangzhou, China",Not yet announced as of 10 Sep 2026,Elsevier conference portfolio,https://www.elsevier.com/events/conferences/all,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
"5th International Conference on Bioresource Technology for Bioenergy, Bioproducts & Environmental Sustainability",BRTX2027,Energy & Sustainability,Bioresource Technology,2027-03-15,2027-03-17,Kuala Lumpur,Malaysia,In-person,International conference focused on bioresource technology.,Not yet announced as of 10 Sep 2026,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Kuala Lumpur, Malaysia",Not yet announced as of 10 Sep 2026,Elsevier conference portfolio,https://www.elsevier.com/events/conferences/all,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2026 5th International Conference on Mechanical Engineering and Power Engineering,MEPE 2026,Engineering,Mechanical & Power Engineering,2026-11-14,2026-11-16,Seoul,South Korea,In-person,International conference focused on mechanical & power engineering.,Call for papers / abstract submissions published.,2026-06-20,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Seoul, South Korea",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=Mechanical+Engineering,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2027 5th International Conference on Mechatronics and Electrical Engineering,ICMEE 2027,Engineering,Mechatronics / Electrical,2027-08-06,2027-08-08,Chengdu,China,In-person,International academic conference on mechatronics and electrical engineering.,Not yet announced as of 10 Sep 2026,,Not yet announced as of 10 Sep 2026,Technical paper sessions.,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Chengdu, China",Not yet announced as of 10 Sep 2026,Conference organizers,https://www.iconf.com/,Discovery index,Date/city from iConf.
2027 5th International Conference on Precision Engineering and Mechanical Manufacturing,PEMM 2027,Engineering,Precision Engineering & Manufacturing,2027-06-10,2027-06-13,Hong Kong,China,In-person,International conference focused on precision engineering & manufacturing.,Call for papers / abstract submissions published.,2027-01-20,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Hong Kong, China",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=Mechanical+Engineering,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2027 5th International Forum on Clean Energy Engineering,IFCEE 2027,Energy & Sustainability,Clean Energy,2027-04-26,2027-04-28,Seoul,South Korea,In-person,International forum on clean energy engineering.,Not yet announced as of 10 Sep 2026,,Not yet announced as of 10 Sep 2026,Technical and applied clean-energy sessions.,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Seoul, South Korea",Not yet announced as of 10 Sep 2026,Conference organizers,https://www.iconf.com/,Discovery index,Date/city from iConf.
2027 6th Asia-Pacific Computer Technology Conference,APCT 2027,Technology,Computer Technology,2027-01-15,2027-01-17,Jakarta,Indonesia,In-person,International conference focused on computer technology.,Call for papers / abstract submissions published.,2026-08-05,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Jakarta, Indonesia",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/news/1175,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
6th Global Food Security Conference,GFSC 2027,Food & Agriculture,Food Security,2027-04-19,2027-04-22,Wageningen,Netherlands,In-person,"Global conference on food security, systems and resilience.",Not yet announced as of 10 Sep 2026,,Not yet announced as of 10 Sep 2026,Scientific sessions and interdisciplinary research program.,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Wageningen University & Research,Not yet announced as of 10 Sep 2026,Elsevier conference portfolio / organizers,https://www.elsevier.com/events/conferences/all,Discovery verified,Date/location confirmed by Elsevier listing.
2026 6th International Conference on Artificial Intelligence and Application Technologies,AIAT 2026,Technology,AI Applications,2026-12-03,2026-12-05,Tokyo,Japan,In-person,International conference focused on ai applications.,Call for papers / abstract submissions published.,2026-07-15,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Tokyo, Japan",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=artificial+intelligence,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2026 6th International Conference on Big Data and Computational Intelligence,BDCI 2026,Technology,Big Data & Computational Intelligence,2026-06-11,2026-06-13,Fukuoka,Japan,In-person,International conference focused on big data & computational intelligence.,Call for papers / abstract submissions published.,2026-01-20,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Fukuoka, Japan",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=Computer+Science+and+Technologies,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2026 6th International Conference on Computer and Communication Engineering,CCCE 2026,Technology,Computer & Communication Engineering,2026-08-28,2026-08-30,Milan,Italy,In-person,International conference focused on computer & communication engineering.,Call for papers / abstract submissions published.,2026-03-10,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Milan, Italy",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=Communication+Engineering,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2026 6th International Conference on Computer Communication and Information Systems,CCCIS 2026,Technology,Computer Communication & Information Systems,2026-09-25,2026-09-27,Malacca,Malaysia,In-person,International conference focused on computer communication & information systems.,Call for papers / abstract submissions published.,2026-05-20,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Malacca, Malaysia",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=Communication+Engineering,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2026 6th International Conference on Intelligent Technology and Embedded Systems,ICITES 2026,Technology,Embedded Systems,2026-09-18,2026-09-21,Hangzhou,China,In-person,International conference focused on embedded systems.,Call for papers / abstract submissions published.,2026-05-30,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Hangzhou, China",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=Communication+Engineering,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
"2026 6th International Conference on Robotics, Automation, and Artificial Intelligence",RAAI 2026,Technology,"Robotics, Automation & AI",2026-12-18,2026-12-20,Singapore,Singapore,In-person,"International conference focused on robotics, automation & ai.",Call for papers / abstract submissions published.,2026-08-01,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Singapore, Singapore",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?tags=artificial+intelligence,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2026 6th International Joint Conference on Robotics and Artificial Intelligence,JCRAI 2026,Technology & Engineering,Robotics / AI,2026-11-06,,Beijing,China,In-person,International joint conference on robotics and artificial intelligence.,Not yet announced as of 10 Sep 2026,,Not yet announced as of 10 Sep 2026,Technical sessions and papers.,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Beijing, China",Not yet announced as of 10 Sep 2026,Conference organizers,https://worldconferencecalendar.com/,Discovery index,Start date/city/category confirmed by index.
7th IAFOR International Conference on Arts & Humanities in Hawaii,IICAH2027,Arts & Humanities,Interdisciplinary Humanities,2027-01-07,,Honolulu,United States,Hybrid,IAFOR interdisciplinary arts and humanities conference in partnership with University of Hawai'i at Mānoa.,"Call for Papers; early-bird submission deadline Jul 16, 2026.",2026-07-16,Not yet announced as of 10 Sep 2026,"Presentations, plenaries, interdisciplinary panels and networking.",Not yet announced as of 10 Sep 2026,IAFOR conference/program committee.,Partners/sponsors on official event page.,"Honolulu, Hawaii",Not yet announced as of 10 Sep 2026,The International Academic Forum (IAFOR),https://www.conferencesked.com/conferences/conferences-2027,Discovery verified,Date/CFP information from conference index; official IAFOR page recommended for final enrichment.
7th International Brain Stimulation Conference,Brain Stimulation 2027,Health & Medicine,Brain Stimulation & Neuroscience,2027-02-21,2027-02-24,Lyon,France,In-person,International conference focused on brain stimulation & neuroscience.,Not yet announced as of 10 Sep 2026,,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Lyon, France",Not yet announced as of 10 Sep 2026,Elsevier conference portfolio,https://www.elsevier.com/events/conferences/all,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
2027 7th International Conference on Big Data Engineering and Education,BDEE 2027,Education & Technology,Big Data & Education,2027-04-16,2027-04-18,Zhengzhou,China,In-person,International conference focused on big data & education.,Call for papers / abstract submissions published.,2026-10-20,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,"Zhengzhou, China",Not yet announced as of 10 Sep 2026,Not yet announced as of 10 Sep 2026,https://www.iconf.com/conference?confDateEnd=&confDateStart=&confName=&contient=&country=&tags=Education,DISCOVERY VERIFIED,"Actual conference name/date/location/deadline taken from the cited published source. Unpublished fields are explicitly marked, not redirected."
